epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
104,957.599,1.28282,1.74534,1.20813,0.00649,0.76986,0.63893,0.63026,0.62468,0.39694,0.64399,0.62237,0.62118,0.3182,1.36295,1.7178,1.54957,0.00718,0,0.0013202,0.0013202,0.0013202
105,966.533,1.23212,1.66665,1.32558,0.00702,0.72742,0.63893,0.63026,0.62468,0.39694,0.64399,0.62237,0.62118,0.3182,1.36295,1.7178,1.54957,0.00718,0,0.0013136,0.0013136,0.0013136
106,975.723,1.21588,1.55807,1.19076,0.00656,0.68725,0.59414,0.65526,0.61149,0.38315,0.59647,0.65658,0.61508,0.31366,1.37869,1.71752,1.54814,0.00734,0,0.001307,0.001307,0.001307
107,984.77,1.19969,1.6598,1.1723,0.0065,0.7943,0.61932,0.57895,0.6061,0.37669,0.64927,0.55292,0.61101,0.32504,1.34456,1.73791,1.75423,0.00725,0,0.0013004,0.0013004,0.0013004
108,993.88,1.20935,1.65472,1.16656,0.00569,0.74387,0.64683,0.56873,0.6043,0.37779,0.65918,0.54737,0.60495,0.32569,1.35607,1.77161,1.83466,0.00731,0,0.0012938,0.0012938,0.0012938
109,1004.09,1.22975,1.57865,0.98883,0.00445,0.76012,0.64998,0.60109,0.62768,0.40355,0.65283,0.60372,0.6391,0.33702,1.35969,1.70674,1.66124,0.00752,0,0.0012872,0.0012872,0.0012872
110,1013.08,1.16627,1.52329,1.19684,0.00656,0.67457,0.65183,0.62763,0.63182,0.40743,0.66227,0.63472,0.64721,0.33687,1.35963,1.72795,1.50722,0.0077,0,0.0012806,0.0012806,0.0012806
111,1021.89,1.19722,1.60472,1.10242,0.00736,0.68736,0.64468,0.65921,0.64831,0.4011,0.65366,0.66053,0.65507,0.35277,1.38483,1.7199,1.50987,0.00783,0,0.001274,0.001274,0.001274
112,1031.07,1.19317,1.62107,1.09015,0.00623,0.72492,0.66899,0.55313,0.60218,0.37073,0.66629,0.55921,0.61443,0.3386,1.40579,1.75322,1.72211,0.0078,0,0.0012674,0.0012674,0.0012674
113,1039.86,1.14607,1.53389,1.08947,0.00614,0.7032,0.65368,0.53421,0.57506,0.36377,0.65207,0.53289,0.58185,0.31897,1.36362,1.73925,1.89614,0.00737,0,0.0012608,0.0012608,0.0012608
114,1048.74,1.19892,1.61433,1.16287,0.00681,0.71946,0.69077,0.58491,0.60888,0.38942,0.68742,0.57294,0.60758,0.31819,1.38008,1.72682,1.71767,0.00774,0,0.0012542,0.0012542,0.0012542
115,1057.44,1.22085,1.64174,1.21618,0.00737,0.72975,0.67483,0.61711,0.61676,0.40233,0.68266,0.62105,0.62643,0.32541,1.38374,1.73999,1.5807,0.00773,0,0.0012476,0.0012476,0.0012476
116,1066.49,1.19097,1.49941,1.10754,0.00637,0.703,0.68114,0.60921,0.61528,0.39976,0.68997,0.61711,0.63223,0.34828,1.37969,1.71343,1.57475,0.00759,0,0.001241,0.001241,0.001241
